,Name,rating,reviews,interviews,jobs,benefits,Photos
109,GlobalLogic,3.5,5.7k,684,34,515,21
110,Manappuram Finance,3.9,5.7k,226,14,260,35
111,Firstsource Solutions,3.5,5.7k,364,174,570,13
112,ICICI Lombard General Insurance Company,3.5,5.7k,356,230,366,15
113,Tata Capital,4.0,5.7k,275,5k,257,23
114,Shapoorji Pallonji Group,4.1,5.7k,430,63,632,14
115,Standard Chartered,3.6,5.6k,323,--,305,--
116,Apollo Hospitals,4.1,5.6k,487,185,507,2
117,UST,3.7,5.6k,592,76,408,16
118,Mahindra Finance,3.9,5.6k,221,584,507,12
119,Bosch Global Software Technologies,3.7,5.6k,393,15,626,21
120,Ashok Leyland,4.0,5.5k,325,--,642,15
121,Swiggy,3.7,5.5k,576,195,340,18
122,Citicorp,3.7,5.5k,630,--,517,6
123,Hero MotoCorp,4.1,5.4k,411,1,584,10
124,CGI Group,4.0,5.4k,560,520,354,5
125,Cyient,3.6,5.3k,336,84,466,3
126,SBI Cards & Payment Services,3.6,5.2k,308,89,344,13
127,BNY,3.6,5.2k,401,79,528,1
128,Kalpataru Projects International,4.2,5.2k,332,4,203,22
129,NTT DATA,3.8,5.2k,751,41,156,2
130,IQVIA,3.7,5.2k,556,40,524,10
131,Nagarjuna Construction Company,4.0,5.2k,445,17,408,12
132,JustDial,3.5,5.1k,393,85,372,9
133,Schneider Electric,4.1,5.1k,458,191,436,13
134,SBI Life Insurance Company,3.7,5.1k,308,1,327,18
135,CBRE,4.1,5.1k,353,205,443,19
136,TVS Motor,3.9,5.1k,406,20,537,13
137,Persistent Systems,3.6,5k,713,275,369,33
138,State Bank of India,3.8,4.9k,314,10,400,5
139,Atos,3.8,4.9k,410,106,456,10
140,vivo,4.1,4.9k,242,8,643,3
141,KEC International,4.0,4.9k,422,16,442,54
142,Amdocs,3.6,4.8k,562,14,614,20
143,Ecom Express,4.0,4.8k,264,--,323,39
144,ITC Infotech,3.8,4.8k,420,99,281,11
145,JBM Group,3.9,4.8k,352,51,342,21
146,Varun Beverages,4.0,4.8k,352,58,321,31
147,Eviden,3.6,4.8k,316,1,1,11
148,Nagarro,3.9,4.7k,836,343,1.1k,19
149,Bosch,4.1,4.6k,383,--,599,18
150,Utkarsh Small Finance Bank,3.6,4.6k,307,22,270,53
151,Randstad,3.7,4.6k,331,7,342,7
152,EY Global Delivery Services ( EY GDS),3.5,4.6k,889,10,264,16
153,Hewlett Packard Enterprise,4.0,4.6k,268,296,546,18
154,Home Credit Finance,4.0,4.6k,149,89,629,6
155,Cars24,3.5,4.6k,409,69,410,18
156,Aditya Birla Fashion and Retail,4.0,4.6k,268,91,391,14
157,L&T Finance,3.9,4.6k,221,--,259,34
158,Mahindra Logistics,3.7,4.5k,253,160,446,24
159,Havells,3.9,4.5k,295,23,315,9
160,Dell,3.8,4.5k,425,48,540,25
161,Intas Pharmaceuticals,4.1,4.5k,263,52,362,9
162,R1 RCM,3.8,4.5k,359,200,335,23
163,OPPO,3.9,4.5k,253,8,602,10
164,Tata AIA Life Insurance,3.9,4.4k,254,682,298,23
165,Hetero,3.9,4.4k,331,86,332,14
166,Hyundai Motor India Limited,4.1,4.4k,326,--,519,31
167,Deutsche Bank,3.8,4.4k,426,615,399,79
168,Berger Paints,3.7,4.4k,434,132,273,6
169,Motilal Oswal Financial Services,3.7,4.4k,551,39,167,90
170,TeamLease Services,3.9,4.3k,253,2,215,6
171,Lenskart,3.3,4.3k,455,199,199,23
172,VE Commercial Vehicles,3.9,4.3k,289,4,340,12
173,Thermax Limited,4.2,4.2k,344,61,371,24
174,Macleods Pharmaceuticals,3.7,4.2k,270,10,334,3
175,Bajaj Auto,3.8,4.2k,328,6,496,19
176,Jubilant Foods Works,3.7,4.2k,254,312,180,18
177,Aakash Educational Services,3.2,4.2k,374,111,212,25
178,Kogta Financial India Limited,4.7,4.1k,251,137,31,39
179,LG Electronics,3.9,4.1k,262,--,399,18
180,Hindalco Industries,4.2,4.1k,309,7,327,10
181,Jindal Steel Limited,3.9,4.1k,421,57,328,37
182,State Street Corporation,3.5,4.1k,292,6,262,11
183,Royal Enfield,4.2,4.1k,203,15,396,38
184,DCB Bank,3.8,4k,231,20,248,23
185,HDFC Ergo General Insurance,4.0,4k,201,311,273,7
186,Tata Communications,3.9,4k,304,272,426,13
187,John Deere,4.0,4k,267,4,417,11
188,RBL Bank,3.5,4k,241,39,221,11
189,Cummins,4.3,3.9k,289,89,458,16
190,Publicis Sapient,3.3,3.9k,700,208,391,69
191,Bank of America,4.1,3.9k,294,--,414,--
192,Alembic Pharmaceuticals,3.9,3.9k,256,63,378,9
193,Pidilite Industries,4.2,3.9k,260,21,360,1
194,Oyo Rooms,3.0,3.9k,258,161,389,14
195,American Express,4.1,3.8k,429,145,435,10
196,Subros,3.8,3.8k,218,5,379,11
197,Aditya Birla Sun Life Insurance,4.0,3.8k,183,1,214,23
198,Grasim Industries,4.0,3.8k,282,4,267,11
199,Kyndryl,4.0,3.8k,230,2,163,59
